date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-01-17T00:00:00.000Z,226.25,226.779999,225.800003,226.309998,61240800,195.2055880993,195.6628644153,194.8173364793,195.2573536016,61240800,0.0,1.0
2017-01-18T00:00:00.000Z,226.75,226.800003,225.899994,226.539993,54793300,195.6369816642,195.6801236091,194.9036074272,195.4557903275,54793300,0.0,1.0
2017-01-19T00:00:00.000Z,225.910004,227.0,225.410004,226.839996,66608800,194.9122439264,195.8526784466,194.4808503615,195.7146290547,66608800,0.0,1.0
2017-01-20T00:00:00.000Z,226.740005,227.309998,225.970001,226.699997,129168600,195.6283581068,196.1201407313,194.9640085658,195.5938397194,129168600,0.0,1.0
2017-01-23T00:00:00.000Z,226.149994,226.809998,225.270004,226.740005,75061600,195.1193042096,195.6887471664,194.3600601634,195.6283581068,75061600,0.0,1.0
2017-01-24T00:00:00.000Z,227.600006,228.080002,226.270004,226.399994,95555300,196.3703559012,196.7844902723,195.2228472931,195.3350009921,95555300,0.0,1.0
2017-01-25T00:00:00.000Z,229.570007,229.570007,228.509995,228.699997,84437700,198.0700474095,198.0700474095,197.1554826986,197.3194139788,84437700,0.0,1.0
2017-01-26T00:00:00.000Z,229.330002,229.710007,229.009995,229.399994,59970700,197.8629741845,198.1908376077,197.5868762634,197.9233623812,59970700,0.0,1.0
2017-01-27T00:00:00.000Z,228.970001,229.589996,228.759995,229.419998,59711100,197.552369955,198.0872936615,197.371179481,197.940621575,59711100,0.0,1.0
2017-01-30T00:00:00.000Z,227.550003,228.199997,226.410004,228.169998,79737300,196.3272139563,196.8880204139,195.3436374912,196.8621376628,79737300,0.0,1.0
2017-01-31T00:00:00.000Z,227.529999,227.600006,226.320007,226.979996,75880800,196.3099547626,196.3703559012,195.2659892379,195.8354192529,75880800,0.0,1.0
2017-02-01T00:00:00.000Z,227.619995,228.589996,226.940002,227.529999,79117700,196.3876021531,197.2245065317,195.8009129444,196.3099547626,79117700,0.0,1.0
2017-02-02T00:00:00.000Z,227.770004,228.100006,226.820007,227.619995,69657600,196.5170279877,196.8017494661,195.6973828028,196.3876021531,69657600,0.0,1.0
2017-02-03T00:00:00.000Z,229.339996,229.550003,228.460007,228.820007,80563200,197.871596879,198.0527882158,197.1123536955,197.4229570622,80563200,0.0,1.0
2017-02-06T00:00:00.000Z,228.929993,229.330002,228.539993,228.869995,57790100,197.5178515675,197.8629741845,197.1813645869,197.4660860653,57790100,0.0,1.0
2017-02-07T00:00:00.000Z,228.940002,229.660004,228.720001,229.380005,57931200,197.5264872039,198.1476956628,197.3366731725,197.9061161293,57931200,0.0,1.0
2017-02-08T00:00:00.000Z,229.240005,229.389999,228.309998,228.940002,51566200,197.7853259311,197.9147388239,196.982927861,197.5264872039,51566200,0.0,1.0
2017-02-09T00:00:00.000Z,230.600006,230.949997,229.240005,229.240005,65955200,198.9587172904,199.2606850207,197.7853259311,197.7853259311,65955200,0.0,1.0
2017-02-10T00:00:00.000Z,231.509995,231.770004,230.619995,231.0,66015900,199.7438440877,199.9681765066,198.9759635423,199.3038269655,66015900,0.0,1.0
